material_key,width_mm,height_mm,qty,price_per_unit
kuse,30,30,1000,0.2000
kuse,30,30,3000,0.1500
kuse,30,30,5000,0.1200
kuse,30,30,10000,0.0900
kuse,50,50,1000,0.3500
kuse,50,50,3000,0.2700
kuse,50,50,5000,0.2200
kuse,50,50,10000,0.1700
kuse,70,70,1000,0.5500
kuse,70,70,3000,0.4200
kuse,70,70,5000,0.3500
kuse,70,70,10000,0.2700
kuse,100,100,1000,0.8500
kuse,100,100,3000,0.6500
kuse,100,100,5000,0.5500
kuse,100,100,10000,0.4200
kuse,150,150,1000,1.5000
kuse,150,150,3000,1.2500
kuse,150,150,5000,1.1000
kuse,150,150,10000,0.8500
kuse,300,450,1000,2.5000
kuse,300,450,3000,2.1000
kuse,300,450,5000,1.8500
kuse,300,450,10000,1.5000
